Data;Taxa de câmbio - R$ / US$ - comercial - venda - média - R$ - Banco Central do Brasil, Boletim, Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERV12;
1990.01;5,20472727272727E-06;
1990.02;8,604E-06;
1990.03;1,37094545454545E-05;
1990.04;1,74145454545455E-05;
1990.05;1,89927272727273E-05;
1990.06;2,07694545454545E-05;
1990.07;2,4188E-05;
1990.08;2,60934545454545E-05;
1990.09;2,74694545454545E-05;
1990.10;3,46054545454545E-05;
1990.11;4,47756363636364E-05;
1990.12;5,62130909090909E-05;
1991.01;7,02505454545455E-05;
1991.02;8,06385454545455E-05;
1991.03;8,36672727272727E-05;
1991.04;9,17E-05;
1991.05;9,92643636363636E-05;
1991.06;0,000108316727272727;
1991.07;0,000119608;
1991.08;0,000135011636363636;
1991.09;0,000155982181818182;
1991.10;0,000212309818181818;
1991.11;0,000269224363636364;
1991.12;0,000348317818181818;
1992.01;0,000435409818181818;
1992.02;0,000537692727272727;
1992.03;0,000659824727272727;
1992.04;0,000798830545454546;
1992.05;0,000955869818181818;
1992.06;0,00114536981818182;
1992.07;0,00139243490909091;
1992.08;0,00169896109090909;
1992.09;0,002098736;
1992.10;0,0026236;
1992.11;0,00328974436363636;
1992.12;0,00405486363636364;
1993.01;0,00511241527272727;
1993.02;0,00649766981818182;
1993.03;0,00817063490909091;
1993.04;0,010446888;
1993.05;0,0134692036363636;
1993.06;0,0174932581818182;
1993.07;0,0228266312727273;
1993.08;0,0300872727272727;
1993.09;0,0404323636363636;
1993.10;0,0549909090909091;
1993.11;0,0748367272727273;
1993.12;0,101594545454545;
1994.01;0,142125272727273;
1994.02;0,200293345454545;
1994.03;0,279316472727273;
1994.04;0,403477963636364;
1994.05;0,576536363636364;
1994.06;0,835002254545455;
1994.07;0,9333;
1994.08;0,8986;
1994.09;0,8652;
1994.10;0,846;
1994.11;0,8418;
1994.12;0,8501;
1995.01;0,8471;
1995.02;0,8408;
1995.03;0,8894;
1995.04;0,9075;
1995.05;0,8974;
1995.06;0,914;
1995.07;0,9288;
1995.08;0,942;
1995.09;0,9528;
1995.10;0,9597;
1995.11;0,9634;
1995.12;0,9683;
1996.01;0,9745;
1996.02;0,9811;
1996.03;0,9861;
1996.04;0,9902;
1996.05;0,9953;
1996.06;1,0013;
1996.07;1,0069;
1996.08;1,0134;
